			BibTeX Key	Autor, Herausgeber oder Institution	Titel	Zeitschrift/Zeitung	Kategorien	Schlagwörter
FALSCH	FALSCH	FALSCH	Debus.2016	Debus, Katharina	Nicht-diskriminierende Sexualpädagogik		1 Soziale Rahmung; 1.4 Identitäten; 1.4.1 Geschlecht; 1.4.2 LGBAQ*; 3 Thematischer Fokus; 3.1 Sexualpädagogik; 6 Gewalt; 6.3 Diskriminierung	Intersektionalität // intersectionality; Sexualpädagogik // sex education; Sexuelle Vielfalt // sexual diversity
FALSCH	FALSCH	FALSCH	Braun.2020	Braun, Andreas; Kron, Thomas	Bestandsaufnahme soziologischer Gewaltforschung		6 Gewalt; 8 Forschung	Ethnographie // ethnography; Evaluation // evaluation; Forschungsergebnisse // research results; Forschungsmethoden // research methods; Forschungsstand // state of research; Gewalt // violence; Hochschule, Universität // college, university; Qualitative Analyse // qualitative analysis; Qualitative Forschung // qualitative research; Quantitative Forschung // quantitative research; Recht // law; Selbstbestimmung // agency; Sexualisierte Gewalt // sexual violence
FALSCH	FALSCH	FALSCH	Debus.2017	Debus, Katharina	Dramatisierung, Entdramatisierung und Nicht-Dramatisierung von Geschlecht und sexueller Orientierung in der geschlechterreflektierten Bildung		1 Soziale Rahmung; 1.4 Identitäten; 1.4.1 Geschlecht; 1.4.2 LGBAQ*; 3 Thematischer Fokus; 3.1 Sexualpädagogik; 4 Fachkräfte; 4.1 Pädagogische Fachkräfte	Geschlecht // gender; Praxis // practice; Sexuelle Vielfalt // sexual diversity
FALSCH	FALSCH	FALSCH	Decarli.2018	Decarli, Jutta	Was hat die Praxis gelernt?		2 Institutioneller Kontext; 2.1 Institutionelle Dynamiken; 2.2 Einrichtungen; 2.2.4 Stationäre Einrichtung; 3 Thematischer Fokus; 3.2 Gewaltprävention; 3.3 Kinderschutz; 3.4 Intervention; 6 Gewalt; 6.1 Sexueller Missbrauch; 6.4 Disclosure, Aufarbeitung	Runder Tisch // Roundtable; Schutzkonzept // protection concept; Sexueller Missbrauch // sexual abuse; Stationäre Einrichtungen // residential care
FALSCH	FALSCH	FALSCH	Deckers.2018	Deckers, Daniel	Spotlight		2 Institutioneller Kontext; 2.1 Institutionelle Dynamiken; 2.2 Einrichtungen; 2.2.6 Sonstige Einrichtungen; 3 Thematischer Fokus; 3.2 Gewaltprävention; 3.3 Kinderschutz; 3.4 Intervention; 6 Gewalt; 6.1 Sexueller Missbrauch; 6.4 Disclosure, Aufarbeitung	Aufarbeitung // rehabilitation; Kirche // church; Medien // media; Schutzkonzept // protection concept; Sexueller Missbrauch // sexual abuse
FALSCH	FALSCH	FALSCH	Diewald.2019	Diewald, Irmgard	Die Konstruktion von Männlichkeit in Bezug auf sexualisierte Gewalt in Kitas		1 Soziale Rahmung; 1.4 Identitäten; 1.4.1 Geschlecht; 2 Institutioneller Kontext; 2.2 Einrichtungen; 2.2.1 Kita	Kindertagesstätte // day-care centre; Männlichkeit // masculinity; Sexualisierte Gewalt // sexual violence
FALSCH	FALSCH	FALSCH	Dolling.2018	Dölling, Dieter; Hermann, Dieter; Treibel, Angelika	Determinanten des Anzeigeverhaltens		6 Gewalt; 6.4 Disclosure, Aufarbeitung; 9 Förderlinie; 9.1.2 DASsS	Forschungsergebnisse // research results; Recht // law
FALSCH	FALSCH	FALSCH	Domann.2017	Domann, Sophie	Gewalt		3 Thematischer Fokus; 3.2 Gewaltprävention; 9 Förderlinie; 9.1.3 Ich bin sicher!	Gewalt // violence; Schutzkonzept // protection concept
FALSCH	FALSCH	FALSCH	Domann.2018	Domann, Sophie; Keller, Samuel; Rusack, Tanja; Strahl, Benjamin	Ankommen, l(i)eben und gehen		2 Institutioneller Kontext; 2.2 Einrichtungen; 2.2.4 Stationäre Einrichtung; 3 Thematischer Fokus; 3.1 Sexualpädagogik; 5 Adressat*innen; 5.2 Jugendliche; 7 Sexualität; 7.1 Sexuelle Erfahrungen	Beziehungsgestaltung // relationships; Einzelinterviews // one-on-one interviews; Forschungsergebnisse // research results; Jugendliche // youth; Sexualität // sexuality; Stationäre Einrichtungen // residential care
FALSCH	FALSCH	FALSCH	Domann.2019	Domann, Sophie; Oppermann, Carolin; Rusack, Tanja	Institutionelle Schutzkonzepte		2 Institutioneller Kontext; 2.1 Institutionelle Dynamiken; 3 Thematischer Fokus; 3.2 Gewaltprävention; 3.3 Kinderschutz	Partizipation // participation; Schutzkonzept // protection concept
FALSCH	FALSCH	FALSCH	Doppler.2018	Doppler, Klaus; Fegert, Jörg M.	Führen in Zeiten der Veränderung		2 Institutioneller Kontext; 2.1 Institutionelle Dynamiken; 3 Thematischer Fokus; 3.2 Gewaltprävention; 3.3 Kinderschutz	Leitung // leadership; Pädagogische Einrichtung // educational facilities; Schutzkonzept // protection concept
FALSCH	FALSCH	FALSCH	Doring.2019	Döring, Nicola	Sexualaufklärung in digitalen Medien: Der aktuelle Entwicklungs- und Forschungsstand		1 Soziale Rahmung; 1.3 Medien und Technologie; 3 Thematischer Fokus; 3.1 Sexualpädagogik; 3.2 Gewaltprävention; 7 Sexualität; 7.1 Sexuelle Erfahrungen; 7.3 Sexuelle Selbstbestimmung; 8 Forschung	Digitale Medien // digital media; Diversität // diversity; Forschungsstand // state of research; Medien // media; Sexualerziehung // sex ed; Sexuelle Bildung // sexuality education; Sexuelle Vielfalt // sexual diversity
FALSCH	FALSCH	FALSCH	Bredereck.2016	Bredereck, Conny Martina	Kinderschutz an Schulen	Sozial Extra (Sozial Extra)	2 Institutioneller Kontext; 2.2 Einrichtungen; 2.2.2 Grundschule; 2.2.3 Weiterführende Schule; 3 Thematischer Fokus; 3.3 Kinderschutz	Kinder // children; Kinderschutz // child protection; Lehrer*innen // Teachers; Prävention // prevention; Praxis // practice; Schule // school; Schüler*innen // pupils; Schutzfaktoren // protection factor; Schutzkonzept // protection concept
FALSCH	FALSCH	FALSCH	Dorr.2018	Dörr, Margret	Nähe-Distanz-Verhältnisse und sexualisierte Gewalt		3 Thematischer Fokus; 3.2 Gewaltprävention; 4 Fachkräfte; 4.1 Pädagogische Fachkräfte	Nähe-Distanz-Regulation // boundary management; Pädagogische Beziehung // pedagogical relationship; Sexualisierte Gewalt // sexual violence; Theorie // theory
FALSCH	FALSCH	FALSCH	Eberhardt.2015	Eberhardt, Bernd; Naasner, Annegret; Nitsch, Matthias	Bundesweite Fortbildungsoffensive von 2010 bis 2014 zur Implementierung präventiver Kinderschutzkonzepte		3 Thematischer Fokus; 3.2 Gewaltprävention; 4 Fachkräfte; 4.1 Pädagogische Fachkräfte; 4.2 Andere Fachkräfte; 6 Gewalt; 6.1 Sexueller Missbrauch	Evaluation // evaluation; Pädagogische Fachkräfte // pedagogial staff; Prävention // prevention; Sexualisierte Gewalt // sexual violence; Sexueller Missbrauch // sexual abuse
FALSCH	FALSCH	FALSCH	Ecarius.2015b	Ecarius, Jutta	Vulnerabilitätserfahrungen		1 Soziale Rahmung; 1.1 Diskurse; 1.4 Identitäten; 1.4.1 Geschlecht; 2 Institutioneller Kontext; 2.1 Institutionelle Dynamiken; 3 Thematischer Fokus; 3.3 Kinderschutz	Geschichte // history; Geschlecht // gender; Vulnerabilität // vulnerability
FALSCH	FALSCH	FALSCH	Enders.2018	Enders, Ursula; Schlingmann, Thomas	Nachhaltige Aufarbeitung aktueller Fälle sexuellen Missbrauchs		2 Institutioneller Kontext; 2.1 Institutionelle Dynamiken; 3 Thematischer Fokus; 3.2 Gewaltprävention; 3.4 Intervention; 6 Gewalt; 6.1 Sexueller Missbrauch; 6.4 Disclosure, Aufarbeitung	Aufarbeitung // rehabilitation; Pädagogische Einrichtung // educational facilities; Schutzkonzept // protection concept; Sexueller Missbrauch // sexual abuse
FALSCH	FALSCH	FALSCH	Engelhardt.2018	Engelhardt, Werner	Die systemische Bedeutung und Funktion sexualisierter Gewalt von Kindern und Jugendlichen im Kontext der Familie		3 Thematischer Fokus; 3.2 Gewaltprävention; 3.4 Intervention; 6 Gewalt; 6.2 Übergriff, Peergewalt	Geschwister // siblings; jugendliche Täter*innen // youth offenders; Psychologie // psychology; Sexualisierte Gewalt // sexual violence; Theorie // theory
FALSCH	FALSCH	FALSCH	Eer.2018	Eßer, Florian; Rusack, Tanja; Strahl, Benjamin	Schutz aus Sicht von Adressat_innen in der Kinder- und Jugendhilfe		2 Institutioneller Kontext; 2.2 Einrichtungen; 2.2.4 Stationäre Einrichtung; 3 Thematischer Fokus; 3.2 Gewaltprävention; 3.3 Kinderschutz; 5 Adressat*innen; 5.2 Jugendliche	Forschungsergebnisse // research results; Kinder- und Jugendhilfe // child welfare system; Qualitative Analyse // qualitative analysis; Schutzfaktoren // protection factor
FALSCH	FALSCH	FALSCH	Fegert.2015	Fegert, Jörg M.	Präventive Maßnahmen in Institutionen		2 Institutioneller Kontext; 2.1 Institutionelle Dynamiken; 3 Thematischer Fokus; 3.2 Gewaltprävention; 3.3 Kinderschutz; 6 Gewalt; 6.1 Sexueller Missbrauch	Pädagogische Einrichtung // educational facilities; Prävention // prevention; Sexueller Missbrauch // sexual abuse
FALSCH	FALSCH	FALSCH	Fegert.2017	Fegert, Jörg M.; Allroggen, Marc; Schloz, Carolin	Besonderheiten bei der Umsetzung von Schutzkonzepten in Kliniken		2 Institutioneller Kontext; 2.2 Einrichtungen; 2.2.6 Sonstige Einrichtungen; 3 Thematischer Fokus; 3.3 Kinderschutz; 9 Förderlinie; 9.1.3 Ich bin sicher!	Medizin // medicine; Schutzkonzept // protection concept
FALSCH	FALSCH	FALSCH	Fegert.2018	Fegert, Jörg M.; Hoffmann, Ulrike; Kölch, Michael	Schutz von vulnerablen Personen im Abhängigkeitsverhältnis		2 Institutioneller Kontext; 2.1 Institutionelle Dynamiken; 3 Thematischer Fokus; 3.2 Gewaltprävention; 3.3 Kinderschutz; 4 Fachkräfte; 4.1 Pädagogische Fachkräfte	Haltung // attitude; Pädagogische Einrichtung // educational facilities; Pädagogische Fachkräfte // pedagogial staff; Schutzkonzept // protection concept
FALSCH	FALSCH	FALSCH	Fegert.2020b	Fegert, Jörg M.; Hoffmann, Ulrike; König, Elisa	Institutionelle Schutzkonzepte zur Prävention sexuellen Kindesmissbrauchs		1 Soziale Rahmung; 1.1 Diskurse; 3 Thematischer Fokus; 3.2 Gewaltprävention; 3.3 Kinderschutz; 6 Gewalt; 6.1 Sexueller Missbrauch; 8 Forschung; 9 Förderlinie; 9.2.3 FosterCare	Institutionelle Dynamiken // institutional dynamics; Prävention // prevention; Schutzkonzept // protection concept; Sexualisierte Gewalt // sexual violence
FALSCH	FALSCH	FALSCH	Breitenbach.2020	Breitenbach, Eva; Hoff, Walburga; Toppe, Sabine	Geschlecht und Gewalt		1 Soziale Rahmung; 1.4 Identitäten; 1.4.1 Geschlecht; 6 Gewalt	Geschlecht // gender; Gewalt // violence; Handbuch // handbook
FALSCH	FALSCH	FALSCH	Fegert.2018c	Fegert, Jörg M.; Kölch, Michael	Personalbeurteilung		2 Institutioneller Kontext; 2.1 Institutionelle Dynamiken; 3 Thematischer Fokus; 3.2 Gewaltprävention; 3.3 Kinderschutz; 4 Fachkräfte; 4.1 Pädagogische Fachkräfte	Kinderschutz // child protection; Pädagogische Einrichtung // educational facilities; Pädagogische Fachkräfte // pedagogial staff
FALSCH	FALSCH	FALSCH	Fegert.2018d	Fegert, Jörg M.; Kölch, Michael; Kliemann, Andrea	Kinderschutz in Institutionen		2 Institutioneller Kontext; 2.1 Institutionelle Dynamiken; 3 Thematischer Fokus; 3.2 Gewaltprävention; 3.3 Kinderschutz; 4 Fachkräfte; 4.1 Pädagogische Fachkräfte	Kinderschutz // child protection; Schutzkonzept // protection concept
FALSCH	FALSCH	FALSCH	Fegert.2017c	Fegert, Jörg M.; Schröer, Wolfgang; Wolff, Mechthild	Persönliche Rechte von Kindern und Jugendlichen		2 Institutioneller Kontext; 3 Thematischer Fokus; 3.2 Gewaltprävention; 3.3 Kinderschutz; 9 Förderlinie; 9.1.3 Ich bin sicher!	Schutzkonzept // protection concept; Selbstbestimmung // agency
FALSCH	FALSCH	FALSCH	Fegert.2017d	Fegert, Jörg M.; Schröer, Wolfgang; Wolff, Mechthild	Schutzkonzepte im Transfer		3 Thematischer Fokus; 3.3 Kinderschutz; 9 Förderlinie; 9.1.3 Ich bin sicher!	Schutzkonzept // protection concept
FALSCH	FALSCH	FALSCH	Fegert.2020c	Fegert, Jörg M.; Ziegenhain, Ute; Rassenhofer, Miriam	Kindesmisshandlung und Vernachlässigung		3 Thematischer Fokus; 3.3 Kinderschutz; 4 Fachkräfte; 4.1 Pädagogische Fachkräfte; 4.2 Andere Fachkräfte	Bedarfe // needs; Forschungsstand // state of research; Gesundheit // health; Handbuch // handbook; Medizin // medicine; Pädagogik // pedagogy; Sexualisierte Gewalt // sexual violence; Sexueller Missbrauch // sexual abuse; Soziale Arbeit // Social Work; Soziale Ungleichheit // social inequality; Sozialwissenschaften // social sciences
FALSCH	FALSCH	FALSCH	Feltes.2016	Feltes, Thomas; List, Katrin; Ruch, Andreas	Sexuelle Diskriminierung und Viktimisierung an Hochschulen		1.2 Leitlinien; 2 Institutioneller Kontext; 2.1 Institutionelle Dynamiken; 2.2 Einrichtungen; 2.2.5 Hochschule; 3 Thematischer Fokus; 3.2 Gewaltprävention; 6 Gewalt; 6.3 Diskriminierung	Hochschule, Universität // college, university; Sexualisierte Gewalt // sexual violence
FALSCH	FALSCH	FALSCH	Fischer.2015	Fischer, Claudia	Draußen vor der Tür		1 Soziale Rahmung; 1.3 Medien und Technologie; 2 Institutioneller Kontext; 2.1 Institutionelle Dynamiken; 3 Thematischer Fokus; 3.2 Gewaltprävention; 3.4 Intervention; 6 Gewalt; 6.1 Sexueller Missbrauch	Medien // media; Pädagogische Einrichtung // educational facilities; Sexualisierte Gewalt // sexual violence
FALSCH	FALSCH	FALSCH	Focali.2017	Focali, Ergin	Interkulturelle sexualpädagogische Bildungsangebote für Eltern und Kinder in Kindertagesstätten		1 Soziale Rahmung; 1.4 Identitäten; 1.4.3 Ethnizität; 2 Institutioneller Kontext; 2.2 Einrichtungen; 2.2.1 Kita; 3 Thematischer Fokus; 3.1 Sexualpädagogik	interkulturell // intercultural; Kindertagesstätte // day-care centre; Sexualpädagogik // sex education
FALSCH	FALSCH	FALSCH	Franque.2018	Franqué, Fritjof von; Briken, Peer	Behandlung der hypersexuellen Störung		3.4 Intervention; 6 Gewalt; 6.2 Übergriff, Peergewalt; 6.5 Negative Folgen	Langzeitfolgen // long-term effect; Sexualisierte Gewalt // sexual violence; Trauma // trauma
FALSCH	FALSCH	FALSCH	Franque.2018b	Franqué, Fritjof von; Briken, Peer	Behandlung von Sexualdelinquenz		3.4 Intervention; 6 Gewalt; 6.2 Übergriff, Peergewalt	Psychotherapie // psychotherapy; Sexualisierte Gewalt // sexual violence; Täter*in // offender
FALSCH	FALSCH	FALSCH	Albrecht.2016b	Albrecht, Maria; Lattwein, Svenja; Urban-Stahl, Ulrike	Interdisziplinäre Kooperation im Kinderschutz	Sozial Extra (Sozial Extra)	2 Institutioneller Kontext; 2.1 Institutionelle Dynamiken; 3 Thematischer Fokus; 3.3 Kinderschutz	Kinder // children; Kinderschutz // child protection; Kommunikation // communication
FALSCH	FALSCH	FALSCH	Breitenbach.2020b	Breitenbach, Eva; Hoff, Walburga; Toppe, Sabine	Geschlecht und Gewalt		1 Soziale Rahmung; 1.1 Diskurse; 1.4 Identitäten; 1.4.1 Geschlecht; 6 Gewalt	Diskurs // discourse; Geschlecht // gender; Geschlechterverhältnis // gender ratio; Gewalt // violence; Gewalt gegen Frauen // violence against women; Queerness // Queerness
FALSCH	FALSCH	FALSCH	Franque.2018c	Franqué, Fritjof von; Briken, Peer	Hypersexuelle Störung bei sexuellen Missbrauchserfahrungen		3.4 Intervention; 6 Gewalt; 6.1 Sexueller Missbrauch; 6.5 Negative Folgen	Langzeitfolgen // long-term effect; Sexueller Missbrauch // sexual abuse
FALSCH	FALSCH	FALSCH	Franque.2018d	Franqué, Fritjof von; Briken, Peer	Sexualdelinquenz		3.4 Intervention; 6 Gewalt; 6.2 Übergriff, Peergewalt	Sexualisierte Gewalt // sexual violence; Täter*in // offender
FALSCH	FALSCH	FALSCH	Franz.2015	Franz, Philip; Böhm, Maika; Dekker, Arne; Matthiesen, Silja	Zwischen sexueller Selbstermächtigung und sexueller Sorge		1 Soziale Rahmung; 1.3 Medien und Technologie; 3 Thematischer Fokus; 3.1 Sexualpädagogik; 5 Adressat*innen; 5.2 Jugendliche; 7 Sexualität; 7.1 Sexuelle Erfahrungen; 9 Förderlinie; 9.3.2 Junprof Hamburg	Pornografie // pornography; Qualitative Forschung // qualitative research; Quantitative Forschung // quantitative research; Studierende // students; Survey // survey
FALSCH	FALSCH	FALSCH	Freitag.2018	Freitag, Christine; Bargen, Imke von	Bilder von Männlichkeit und Weiblichkeit im Kontext religionsbezogener Wahrnehmung		1 Soziale Rahmung; 1.4 Identitäten; 1.4.1 Geschlecht; 1.4.4 Religion; 2 Institutioneller Kontext; 2.2 Einrichtungen; 2.2.3 Weiterführende Schule; 2.2.6 Sonstige Einrichtungen; 4 Fachkräfte; 4.1 Pädagogische Fachkräfte	Einzelinterviews // one-on-one interviews; Forschungsergebnisse // research results; Geschlecht // gender; Kirche // church; Lehrer*innen // Teachers; Männlichkeit // masculinity; Religion // religion; Schule // school; Weiblichkeit // femininity
FALSCH	FALSCH	FALSCH	Freuding.2017	Freuding, Janosch	Sprechen über Sexualität in einer Berufsintegrationsklasse der Berufsschule		1 Soziale Rahmung; 1.4 Identitäten; 1.4.3 Ethnizität; 2 Institutioneller Kontext; 2.2 Einrichtungen; 2.2.3 Weiterführende Schule; 3 Thematischer Fokus; 3.1 Sexualpädagogik; 4 Fachkräfte; 4.1 Pädagogische Fachkräfte	interkulturell // intercultural; Schule // school; Sexualität // sexuality
FALSCH	FALSCH	FALSCH	Fuchs.2017	Fuchs, Christina; Kadera, Stepanka; Tippelt, Rudolf	Ethische und offene Leitungs- und Führungsstile		3 Thematischer Fokus; 3.2 Gewaltprävention; 4 Fachkräfte; 4.1 Pädagogische Fachkräfte; 9 Förderlinie; 9.1.7 Kindeswohl als kollektives Orientierungsmuster?	Leitung // leadership
FALSCH	FALSCH	FALSCH	Fuchs.2017b	Fuchs, Christina; Kadera, Stepanka; Tippelt, Rudolf	Fortbildung von pädagogischem Personal als Prävention gegen sexualisierte Gewalt		3 Thematischer Fokus; 3.2 Gewaltprävention; 4 Fachkräfte; 4.1 Pädagogische Fachkräfte; 9 Förderlinie; 9.1.7 Kindeswohl als kollektives Orientierungsmuster?	Pädagogische Fachkräfte // pedagogial staff; Prävention // prevention; Sexualisierte Gewalt // sexual violence; Weiterbildung // further education
FALSCH	FALSCH	FALSCH	GarciaNunez.2018	Garcia Nuñez, David; Schneeberger, Andres Ricardo	Trauma unter dem Regenbogen		1 Soziale Rahmung; 1.4 Identitäten; 1.4.1 Geschlecht; 1.4.2 LGBAQ*; 6 Gewalt; 6.3 Diskriminierung; 6.5 Negative Folgen	Diskriminierung // discrimination; Sexuelle Vielfalt // sexual diversity; Stereotype // stereotypes; Trauma // trauma
FALSCH	FALSCH	FALSCH	Glammeier.2015	Glammeier, Sandra	(De)Thematisierung von Geschlecht im wissenschaftlichen Diskurs zu sexueller Gewalt gegen Kinder und Jugendliche		1 Soziale Rahmung; 1.4 Identitäten; 1.4.1 Geschlecht; 3 Thematischer Fokus; 3.2 Gewaltprävention; 6 Gewalt; 6.1 Sexueller Missbrauch; 6.2 Übergriff, Peergewalt; 9 Förderlinie; 9.1.15 Sexualisierte Übergriffe und Schule	Diskurs // discourse; Geschlecht // gender; Jugendliche // youth; Kinder // children; Sexualisierte Gewalt // sexual violence
FALSCH	FALSCH	FALSCH	Glammeier.2016	Glammeier, Sandra	Gruppendiskussionen und dokumentarische Methode in der Forschung zu Gewalt		3 Thematischer Fokus; 3.2 Gewaltprävention; 8 Forschung; 9 Förderlinie; 9.1.15 Sexualisierte Übergriffe und Schule	Betroffene sexualisierter Gewalt // sexual assault survivors; Forschungspraxis // research practice; Gefahrendiskurs // danger narrative; Gewalt // violence; Gruppendiskussionen // group discussions; Qualitative Analyse // qualitative analysis; Täter*in // offender
FALSCH	FALSCH	FALSCH	Breitenbach.2018	Breitenbach, Eva; Rieske, Thomas Viola; Toppe, Sabine	Migration, Geschlecht und Religion		1 Soziale Rahmung; 1.1 Diskurse; 1.4 Identitäten; 1.4.1 Geschlecht; 1.4.3 Ethnizität; 1.4.4 Religion	Geschlecht // gender; interkulturell // intercultural; Pädagogik // pedagogy; Religion // religion
FALSCH	FALSCH	FALSCH	Glammeier.2016b	Glammeier, Sandra	Nicht-intentionale Aspekte im pädagogischen Handeln von Lehrkräften im Kontext von sexuellen Übergriffen		2 Institutioneller Kontext; 2.2 Einrichtungen; 2.2.3 Weiterführende Schule; 3 Thematischer Fokus; 3.2 Gewaltprävention; 4 Fachkräfte; 4.1 Pädagogische Fachkräfte; 9 Förderlinie; 9.1.15 Sexualisierte Übergriffe und Schule	Lehrer*innen // Teachers; Schule // school; Sexueller Übergriff // sexual assault
FALSCH	FALSCH	WAHR	Glammeier.2017	Glammeier, Sandra	Geschlechterwissenschaftliche Perspektiven auf sexuelle Gewalt gegen Kinder und Jugendliche seit den 1980er Jahren		1 Soziale Rahmung; 1.1 Diskurse; 1.4 Identitäten; 1.4.1 Geschlecht; 3 Thematischer Fokus; 3.2 Gewaltprävention; 6 Gewalt; 6.1 Sexueller Missbrauch; 9 Förderlinie; 9.1.15 Sexualisierte Übergriffe und Schule	Diskurs // discourse; Gender Studies // Gender Studies; Geschlecht // gender; Jugendliche // youth; Kinder // children; Sexualisierte Gewalt // sexual violence; Sozialwissenschaften // social sciences
FALSCH	FALSCH	FALSCH	Glammeier.2018	Glammeier, Sandra	Sexuelle Gewalt und Schule		2 Institutioneller Kontext; 2.2 Einrichtungen; 2.2.3 Weiterführende Schule; 3 Thematischer Fokus; 3.2 Gewaltprävention; 4 Fachkräfte; 4.1 Pädagogische Fachkräfte; 6 Gewalt; 6.1 Sexueller Missbrauch; 6.2 Übergriff, Peergewalt; 9 Förderlinie; 9.1.15 Sexualisierte Übergriffe und Schule	Einzelinterviews // one-on-one interviews; Evaluation // evaluation; Forschungsergebnisse // research results; Lehrer*innen // Teachers; Prävention // prevention; Quantitative Forschung // quantitative research; Schule // school; Sexualisierte Gewalt // sexual violence; Survey // survey
FALSCH	FALSCH	FALSCH	Glammeier.2018b	Glammeier, Sandra; Fein, Sylvia	Schulentwicklung und Fortbildungsbedarfe von Lehrkräften im Kontext sexueller Gewalt		2 Institutioneller Kontext; 2.1 Institutionelle Dynamiken; 2.2 Einrichtungen; 2.2.3 Weiterführende Schule; 3 Thematischer Fokus; 3.2 Gewaltprävention; 4 Fachkräfte; 4.1 Pädagogische Fachkräfte; 6 Gewalt; 6.1 Sexueller Missbrauch; 6.2 Übergriff, Peergewalt; 9 Förderlinie; 9.1.15 Sexualisierte Übergriffe und Schule	Bedarfe // needs; Lehrer*innen // Teachers; Schule // school; Sexualisierte Gewalt // sexual violence; Weiterbildung // further education
FALSCH	FALSCH	FALSCH	Gorgen.2015	Görgen, Arno; Griemmert, Maria; Kessler, Sebastian	Sexueller Missbrauch und Kinderschutz		3 Thematischer Fokus; 3.3 Kinderschutz; 6 Gewalt; 6.1 Sexueller Missbrauch; 9 Förderlinie; 9.1.7 Kindeswohl als kollektives Orientierungsmuster?	Kinderschutz // child protection; Sexueller Missbrauch // sexual abuse
FALSCH	FALSCH	FALSCH	Gorgen.2018	Görgen, Arno; Söhner, Felicitas; Fangerau, Heiner	Kindeswohl als kollektives Orientierungsmuster?		1 Soziale Rahmung; 1.1 Diskurse; 1.3 Medien und Technologie; 3 Thematischer Fokus; 3.2 Gewaltprävention; 6 Gewalt; 6.1 Sexueller Missbrauch; 9 Förderlinie; 9.1.7 Kindeswohl als kollektives Orientierungsmuster?	Diskurs // discourse; Diskursanalyse // discourse analysis; Forschungsergebnisse // research results; Gefahrendiskurs // danger narrative; Kindeswohl // child welfare; Medien // media; Sexueller Missbrauch // sexual abuse
FALSCH	FALSCH	FALSCH	GossowLook.2018	Gossow-Look, Gabriela; Steinbach, Beate	Anforderungen und Handlungsmöglichkeiten bei der Vermutung bzw. Feststellung von sexuellen Übergriffen		2 Institutioneller Kontext; 2.1 Institutionelle Dynamiken; 3 Thematischer Fokus; 3.2 Gewaltprävention; 3.3 Kinderschutz; 3.4 Intervention; 3.5 Praxismaterialien; 6 Gewalt; 6.1 Sexueller Missbrauch	Handlungsempfehlungen // guidelines; Intervention // intervention; Konzepte, Materialien // concepts; Pädagogische Einrichtung // educational facilities; Sexualisierte Gewalt // sexual violence; Verdacht // suspicion
FALSCH	FALSCH	FALSCH	Groen.2015	Groen, Maike; Schröder, Arne	Jugendkultur im Binärsystem?		1 Soziale Rahmung; 1.4 Identitäten; 1.4.1 Geschlecht; 3 Thematischer Fokus; 3.1 Sexualpädagogik; 5 Adressat*innen; 5.2 Jugendliche	Digitale Medien // digital media; Geschlecht // gender; Heteronormativität // heteronormativity; Sexuelle Vielfalt // sexual diversity
FALSCH	FALSCH	FALSCH	Grosse.2018	Grosse, Martin	Körper, Leib und sexualisierte Gewalt in pädagogischen Kontexten		2 Institutioneller Kontext; 2.1 Institutionelle Dynamiken; 3 Thematischer Fokus; 3.2 Gewaltprävention; 6 Gewalt; 6.1 Sexueller Missbrauch; 6.2 Übergriff, Peergewalt; 9 Förderlinie; 9.3.3 Junprof Kassel	Körper // body; Organisationskultur // organisational culture; Sexualisierte Gewalt // sexual violence
FALSCH	FALSCH	FALSCH	Gulowski.2020	Gulowski, Rebecca; Krüger, Christa	Jugendliche reden über sexualisierte Gewalterfahrungen vor allem mit ihren Peers.		3 Thematischer Fokus; 3.2 Gewaltprävention; 5 Adressat*innen; 5.2 Jugendliche; 6 Gewalt; 6.1 Sexueller Missbrauch; 6.2 Übergriff, Peergewalt; 8 Forschung; 9 Förderlinie; 9.2.7 PAD	Disclosure // disclosure; Forschungsergebnisse // research results; Forschungspraxis // research practice; Forschungsstand // state of research; Intervention // intervention; Jugendliche // youth; junge Erwachsene // young adults; Peergewalt // peer violence; Prävention // prevention; Praxis // practice
FALSCH	FALSCH	FALSCH	Brenner.2016	Brenner, Gerd	Befunde neuerer Studien zur Jugendsexualität	Deutsche Jugend	7 Sexualität; 7.1 Sexuelle Erfahrungen; 7.2 Beziehungsgestaltung; 7.3 Sexuelle Selbstbestimmung; 8 Forschung	Forschungsergebnisse // research results; Forschungsstand // state of research; Jugendliche // youth; Jugendsexualität // youth sexuality; junge Erwachsene // young adults; Praxis // practice; Professionalität // professionality; Psychosexuelle Entwicklung // sexuality development; Recht // law; Risikofaktoren // risk factors; Schutzfaktoren // protection factor; Sexuelle Bildung // sexuality education
FALSCH	FALSCH	FALSCH	Haase.2017	Haase, Mathias	Sexuelle Bildung und Migration in der Kinder- und Jugendhilfe		1 Soziale Rahmung; 1.4 Identitäten; 1.4.3 Ethnizität; 2 Institutioneller Kontext; 2.2 Einrichtungen; 2.2.4 Stationäre Einrichtung; 3 Thematischer Fokus; 3.1 Sexualpädagogik	interkulturell // intercultural; Kinder- und Jugendhilfe // child welfare system; Sexuelle Bildung // sexuality education
FALSCH	FALSCH	FALSCH	HagemannWhite.2016	Hagemann-White, Carol	Grundbegriffe und Fragen der Ethik bei der Forschung über Gewalt im Geschlechterverhältnis		1 Soziale Rahmung; 1.1 Diskurse; 1.4 Identitäten; 1.4.1 Geschlecht; 3 Thematischer Fokus; 3.2 Gewaltprävention; 8 Forschung	Forschungsethik // research ethics; Forschungsmethoden // research methods; Geschlecht // gender; Gewalt // violence
